ticker,composite_rank,composite_score,z_score,expected_excess_return,volatility,drawdown,cluster_id,defensive_multiplier,defensive_bucket,defensive_notes,severity,stage_bucket,market_cap_bucket,rankable,momentum_score,momentum_window,momentum_return,catalyst_score,catalyst_effective_score,catalyst_event_count,smart_money_score,smart_money_overlap,smart_money_tier1_holders,short_interest_score,short_interest_pct,short_interest_days_to_cover,pos_score,pos_confidence,partnership_score,partnership_strength,fda_designation_score,fda_designations,competitive_intensity_score,competitive_intensity_level,pipeline_diversity_score,pipeline_diversity_status,confidence_overall,confidence_financial,confidence_clinical,confidence_catalyst,confidence_pos
SEPN,111,40.01,,,,,,,,,none,early,small,False,72.98,60,,,,,,3,RA Capital,,,,,,50,unknown,50,,90.0,,35.0,,0.80500,0.95,0.85,0.45,0.7
CRMD,112,39.27,,,,,,,,,none,late,small,False,7.25,60,,,,,,3,,,,,,,50,unknown,50,,20.0,,75.0,,0.83500,0.95,0.95,0.45,0.7
VCEL,113,39.18,,,,,,,,,none,late,small,False,19.72,60,,,,,,0,,,,,,,50,unknown,50,,20.0,,80.0,,0.83500,0.95,0.95,0.45,0.7
ALNY,114,38.96,,,,,,,,,none,late,large,False,7.25,60,,,,,,3,,,,,,,67.83,exceptional,73.8,,75.0,,88.0,,0.83500,0.95,0.95,0.45,0.7
AVXL,115,38.85,,,,,,,,,none,late,small,False,7.25,60,,,,,,0,,,,,,,50,unknown,50,,90.0,,79.0,,0.83500,0.95,0.95,0.45,0.7
RGNX,116,38.41,,,,,,,,,none,late,small,False,48.35,60,,,,,,0,,,,,,,50,unknown,50,,75.0,,80.0,,0.87000,0.95,0.95,0.65,0.7
TNYA,117,38.39,,,,,,,,,none,early,micro,False,7.25,60,,,,,,4,,,,,,,50,unknown,50,,20.0,,54.0,,0.83500,0.95,0.95,0.45,0.7
GPCR,118,38.16,,,,,,,,,none,mid,mid,False,92.75,60,,,,,,4,Baker Bros; RA Capital,,,,,,50,unknown,50,,100.0,,67.0,,0.83500,0.95,0.95,0.45,0.7
ARCT,119,37.81,,,,,,,,,none,late,micro,False,7.25,60,,,,,,0,,,,,,,50,unknown,50,,100.0,,79.0,,0.83500,0.95,0.95,0.45,0.7
PCVX,120,37.69,,,,,,,,,none,late,mid,False,61.97,60,,,,,,8,Baker Bros; RA Capital,,,,,,52.75,exceptional,69.8,,10.0,,76.0,,0.83000,0.95,0.95,0.45,0.7
JBIO,121,37.67,,,,,,,,,none,early,small,False,92.75,60,,,,,,0,,,,,,,50,unknown,50,,90.0,,35.0,,0.74500,0.95,0.85,0.45,0.7
ZLAB,122,37.47,,,,,,,,,none,late,small,False,7.25,60,,,,,,2,,,,,,,50,unknown,50,,100.0,,88.0,,0.87500,0.95,0.95,0.65,0.7
RCKT,123,37.24,,,,,,,,,sev1,mid,small,False,23.64,60,,,,,,7,,,,,,,52.75,exceptional,81.0,,45.0,,79.0,,0.83500,0.95,0.95,0.45,0.7
RXRX,124,37.02,,,,,,,,,none,mid,mid,False,7.25,60,,,,,,2,,,,,,,50,unknown,50,,100.0,,78.0,,0.83500,0.95,0.95,0.45,0.7
NBP,125,36.86,,,,,,,,,none,mid,small,False,8.15,60,,,,,,0,,,,,,,50,unknown,50,,10.0,,35.0,,0.74500,0.95,0.85,0.45,0.7
SNDX,126,36.73,,,,,,,,,sev1,mid,small,False,82.21,60,,,,,,7,,,,,,,47.82,strong,50,,100.0,,84.0,,0.83500,0.95,0.95,0.45,0.7
SPRY,127,36.67,,,,,,,,,none,early,small,False,8.18,60,,,,,,4,RA Capital,,,,,,50,unknown,50,,20.0,,63.0,,0.80500,0.95,0.85,0.45,0.7
MLTX,128,36.11,,,,,,,,,none,late,small,False,37.52,60,,,,,,7,,,,,,,50,unknown,50,,60.0,,80.0,,0.83000,0.95,0.95,0.45,0.7
ONC,129,36.09,,,,,,,,,none,late,large,False,31.53,60,,,,,,0,,,,,,,50,unknown,50,,100.0,,83.0,,0.83000,0.95,0.95,0.45,0.7
TERN,130,36.08,,,,,,,,,none,mid,mid,False,92.75,60,,,,,,1,,,,,,,50,unknown,50,,100.0,,67.0,,0.83500,0.95,0.95,0.45,0.7
LCTX,131,35.89,,,,,,,,,none,early,small,False,27.55,60,,,,,,0,,,,,,,50,unknown,50,,20.0,,64.0,,0.83500,0.95,0.95,0.45,0.7
CMPS,132,35.75,,,,,,,,,sev1,early,small,False,49.14,60,,,,,,8,,,,,,,50,unknown,50,,100.0,,35.0,,0.74000,0.95,0.85,0.45,0.7
ABEO,133,35.62,,,,,,,,,none,late,micro,False,12.39,60,,,,,,1,,,,,,,50,unknown,50,,35.0,,76.0,,0.83500,0.95,0.95,0.45,0.7
ABUS,134,35.56,,,,,,,,,none,mid,small,False,16.43,60,,,,,,0,,,,,,,50,unknown,50,,75.0,,78.0,,0.80500,0.95,0.95,0.30,0.7
OCUL,135,35.53,,,,,,,,,none,late,mid,False,7.25,60,,,,,,8,,,,,,,50,unknown,50,,75.0,,83.0,,0.83500,0.95,0.95,0.45,0.7
CLYM,136,35.19,,,,,,,,,none,mid,small,False,92.75,60,,,,,,1,RA Capital,,,,,,50,unknown,50,,75.0,,67.0,,0.83500,0.95,0.95,0.45,0.7
